#SPRITE 8 realGunter.bmp null
forword 7 100 100 1 0 null null
0	99 298 37 54 
1	134 298 37 54 
2	173 298 37 54 
3	209 298 37 54
4	246 298 37 54
5	284 298 37 54
6	323 298 37 54
backword 7 100 100 1 0 null null
0	620 296 37 54
1	584 296 37 54
2	545 296 37 54
3	509 296 37 54
4	470 296 37 54 
5	432 296 37 54 
6	393 296 37 54
landingforword 3 1 100 100 0 null null
0	86 479 51 49 
1	135 479 51 49 
2	182 479 41 49 
landingbackword 3 1 100 100 0 null null
0	344 479 51 49 
1	300 479 51 49 
2	256 479 41 49 
jumpforword 12 100 100 0.5 0 null null
0	88 410 49 43 
1	133 403 40 49 
2	175 396 38 50 
3	215 400 37 54
4	258 393 45 50
5	303 393 49 46
6	354 387 47 59
7	402 385 47 63
8	449 387 42 61
9	86 479 51 49 
10	135 479 51 49 
11	182 479 41 49 
jumpbackword 12 100 100 1 0 null null
0	836 469 49 43 
1	796 462 40 49 
2	757 454 38 50 
3	713 456 37 54
4	666 455 45 50
5	619 454 49 46
6	568 447 47 59
7	521 444 47 63
8	476 446 43 58
9	344 479 51 49 
10	300 479 46 49 
11	256 479 41 49 
idleforword 48 100 100 3 0 null null
0	81 133 39 53 
1	119 133 39 53 
2	158 133 39 53 
3	194 133 39 53
4	232 133 39 53
5	269 133 39 53
6	304 133 39 53
7	340 133 39 53
8	375 133 39 53
9	81 133 39 53 
10	119 133 39 53 
11	158 133 39 53 
12	194 133 39 53
13	232 133 39 53
14	269 133 39 53
15	304 133 39 53
16	340 133 39 53
17	375 133 39 53
18	81 133 39 53 
19	119 133 39 53 
20	158 133 39 53 
21	194 133 39 53
22	232 133 39 53
23	269 133 39 53
24	304 133 39 53
25	340 133 39 53
26	375 133 39 53
27	81 133 39 53 
28	119 133 39 53 
29	158 133 39 53 
30	194 133 39 53
31	232 133 39 53
32	269 133 39 53
33	304 133 39 53
34	340 133 39 53
35	375 133 39 53
36	425 133 39 53
37	461 133 39 53
38	495 133 39 53 
39	535 133 39 53 
40	572 133 39 53 
41	610 133 39 53
42	651 133 39 53
43	690 133 39 53
44	732 133 39 53
45	772 133 39 53
46	809 133 39 53
47	847 133 39 53
idlebackword 48 100 100 3 0 null null
0	781 28 39 53 
1	743 28 39 53 
2	707 28 39 53 
3	670 28 39 53
4	631 28 39 53
5	596 28 39 53
6	559 28 39 53
7	523 28 39 53
8	486 28 39 53
9	781 28 39 53
10	743 28 39 53 
11	707 28 39 53 
12	670 28 39 53
13	631 28 39 53
14	596 28 39 53
15	559 28 39 53
16	523 28 39 53
17	486 28 39 53
18	781 28 39 53
19	743 28 39 53 
20	707 28 39 53 
21	670 28 39 53
22	631 28 39 53
23	596 28 39 53
24	559 28 39 53
25	523 28 39 53
26	486 28 39 53
27	781 28 39 53
28	743 28 39 53
29	707 28 39 53
30	670 28 39 53
31	631 28 39 53
32	596 28 39 53
33	559 28 39 53
34	523 28 39 53
35	486 28 39 53
36	440 28 39 53
37	403 28 39 53
38	367 28 39 53 
39	331 28 39 53 
40	289 28 39 53 
41	250 28 39 53
42	211 28 39 53
43	172 28 39 53
44	131 28 39 53
45	91 28 39 53
46	55 28 39 53
47	17 28 39 53
